document_id,process_id,title,folder,agency,action_type,state,register_date,total_count
19644,,Tahoe National Forest Over-Snow Vehicle Use Designation,50001_2024_epa,Forest Service,,CA,5/3/24,1
19656,,ADOPTION - New England Wind Project,50013_2024,National Marine Fisheries Service,,MA - NY - RI,4/12/24,6
19661,,"Expansion and Modernization of the Raul Hector Castro Land Port of Entry and Proposed Commercial Land Port of Entry in Douglas, Arizona",50018_2024,General Services Administration,,AZ,4/5/24,1
19663,,ADOPTION - Sunrise Wind Project,50020_2024,National Marine Fisheries Service,,NY - MA - RI,4/5/24,9
19667,,"ADOPTION - Proposed Land Acquisition at Washington Navy Yard, Washington, D.C.",50024_2024,National Capital Planning Commission,,DC,3/29/24,1
19669,,Grizzly Bear Restoration Plan - Environmental Impact Statement North Cascades Ecosystem,50026_2024,National Park Service,,WA,3/22/24,4
19676,,ADOPTION - Revolution Wind Farm and Revolution Wind Export Cable Final Environmental Impact Statement,50034_2024,National Marine Fisheries Service,,RI - CT - MA,3/15/24,14
19677,,ADOPTION - Empire Offshore Wind,50035_2024,National Marine Fisheries Service,,NY,3/15/24,2
19685,,New England Wind Project,50043_2024,Bureau of Ocean Energy Management,,RI - NY - MA,3/1/24,6
19691,,Goldendale Energy Storage Project,50049_2024,Federal Energy Regulatory Commission,,OR - WA,2/16/24,2
19695,,ADOPTION - Sentinel (GSBD) Deployment and Minuteman III Decommissioning and Disposal,50058_2024,Bureau of Land Management,,UT - ND - MT - AZ - WY,2/9/24,6
19705,,Ashley National Forest Land Management Plan Revision,50064_2024,Forest Service,,WY - UT,1/26/24,6
17706,,ADOPTION - Rebuild by Design - Hudson River (RBD-HR),EisDocuments-387841,Federal Emergency Management Agency,,NJ,12/30/22,1
17717,,ADOPTION - Puget Sound Nearshore Ecosystem Restoration,EisDocuments-385902,Washington Department of Fish and Wildlife,,WA,12/9/22,2
17719,,Bering Sea and Aleutian Islands Halibut Abundance-Based Management of Amendment 80 Prohibited Species Catch Limit - Amendment 123 to the Fishery Management Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area,EisDocuments-385666,National Marine Fisheries Service,,AK,12/9/22,22
17723,,GTN XPress Project,EisDocuments-384910,Federal Energy Regulatory Commission,,WA;OR;ID,11/25/22,1
